,mean,std
"(i-1,j+1)",-6.354232875795771e-07,0.00407516391301599
"(i,j+1)",-8.36150048623304e-07,0.0031831146476655144
"(i+1,j+1)",-1.0094990887477197e-06,0.004075661701149671
"(i-1,j)",-7.69961032264277e-07,0.003184099405304149
"(i,j)",-9.507426380197028e-07,0.0019058348473348005
"(i+1,j)",-1.109404036561464e-06,0.003183738690839272
"(i-1,j-1)",-8.768374866635702e-07,0.004076986311147284
"(i,j-1)",-1.0466474628595208e-06,0.0031844210612996886
"(i+1,j-1)",-1.2007555861262355e-06,0.004075940943230935
h,0.003636363636360363,3.2762861928341703e-15
