,mean,std
"(i-1,j+1)",9.694417810323482e-07,0.004229692756469018
"(i,j+1)",1.8910262306696598e-07,0.003303677179161378
"(i+1,j+1)",-5.754164744969246e-07,0.0042285673026229
"(i-1,j)",1.5886744470474636e-06,0.0033040177977997865
"(i,j)",8.219032219186338e-07,0.001977897737450937
"(i+1,j)",6.967588925786092e-08,0.003303227845200632
"(i-1,j-1)",2.2277402309760034e-06,0.004230460153638927
"(i,j-1)",1.470650973683665e-06,0.0033053016751261534
"(i+1,j-1)",7.321856604872781e-07,0.004230385879887054
h,0.0037735849056103545,5.0024661964818796e-14
